source_image,page_index,name,hp,evolves_from,ability_name,ability_text,attacks,set_name,set_code,card_number,artist,weakness,resistance,retreat,notes,rarity,quantity,est_grade,page_sha1,ocr_len,parse_warnings
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_ztr35c17/FirstScan/FirstScan_page_002.png,1,Stufful,70,,,,Light Punch :: Colorless :: 10 | Flop :: Colorless/Colorless :: 20,TM,TM,111/132,Shibuzoh,Fighting ×2,,Colorless / Colorless,"{""unreadable"": [], ""stage"": ""Basic"", ""types"": [""Colorless""], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2025}",,1,,69adb794dcef0deaf519a8cb6dcbeaf3f8b8bd03,0,
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_ztr35c17/FirstScan/FirstScan_page_004.png,2,Lunatone,70,,Lunar Cycle,"Once during your turn, if you have Solrock in play, you may discard a Basic Psychic Energy card from your hand in order to use this Ability. Draw 3 cards. You can't use more than 1 Lunar Cycle Ability each turn.",Power Gem :: 50,Meteorite Pokémon,MPK,033/189,5ban Graphics,,,,"{""unreadable"": [], ""stage"": ""Basic"", ""types"": [""Psychic""], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2020}",,1,,e6f65b23bbf32d567ad919d57597f946bf43fa33,0,
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_ztr35c17/FirstScan/FirstScan_page_006.png,3,Centiskorch,140,Sizzlipede,,,"Coiling Crush :: Colorless/Colorless :: 50 :: Flip 2 coins. For each heads, discard an Energy from your opponent's Active Pokémon. | Heat Crawler :: Fire/Fire/Colorless :: 140",,MEG,030/132,Shiburingar,Water ×2,,Colorless / Colorless / Colorless,"{""unreadable"": [], ""stage"": ""Stage 1"", ""types"": [""Fire""], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2025}",,1,,ca73275ecea025911bcf6a2f0ac9011fd8efe27a,0,
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_ztr35c17/FirstScan/FirstScan_page_008.png,4,Mystery Garden,=i RAINGR:,ao Beco aaa »f,"Riese uaeere beret rate eerie PaaS Ea ce gericpecten ee A
[fice during each players turn, that player may discard an
rau: gy caid from thet hand ih order to draw ca paScuntile
ithtey have asian cardsin their hand as they have © Pokemon
ss See enemy uy ner ieee eat
ae Pin Se et ee","Br cencen site iR dee ese Aiea steers eC)
fonce ring eachy player's turn, that player mayadi card ane
penerey carc irom theit/hand inorder €6 dra W cards Utils
btheyshaves many cardsin their hand as they ave © BO én ion Hl
oe >
pee ee eB","SSIS a te)
Resp Satish Seats eu REARS Se
Oh darts cen byes rn enone ye ee
SORCS ane eee layers turn, t ze Dery ae :
SORCE ring each: pla Be ver meee a
eee from thei shand in;order to: draw can sung
Eanes Card from their hant Morden to dew oom
prgreenes reer ee feichandas they have @)P SUOR
etheyhave's Gta i hele and as che) live ec eupeenie |
a 7 oe
cee ee ee ae oe
Deere anetee a SSeS SOIT NDS ONE
SERA STS tite wea",,MEG,122/132,AYUMI ODASHIMA,,,"ieiths vetScea recat
SS ee","{""unreadable"": [], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2025}",,1,,ac0d18203702c3f2d97873b1e7d7fed055f6b5a7,259,
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_ztr35c17/FirstScan/FirstScan_page_010.png,5,Shedinja,60,Nincada,Fragile Husk,"If this Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon ex, your opponent can't take any Prize cards for it.",Damage Beat :: Colorless :: 20× :: This attack does 20 damage for each damage counter on your opponent's Active Pokémon.,Unknown,MEG,061/132,IKEDA Saki,Psychic ×2,,Colorless,"{""unreadable"": [], ""stage"": ""Stage 1"", ""types"": [""Grass""], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2025}",,1,,ae58a3e0c3fca9067624da708b64c1540aa22b9d,0,
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_ztr35c17/FirstScan/FirstScan_page_012.png,6,Cinderace,160,Raboot,Explosiveness,"If this Pokémon is in your hand when you are setting up to play, you may put it face down in the Active Spot.","Turbo Flare :: Colorless :: 50 :: Search your deck for up to 3 Basic Energy cards and attach them to your Benched Pokémon in any way you like. Then, shuffle your deck.",Shining Legends,SLG,028/132,REND,Water ×2,,Colorless,"{""unreadable"": [], ""stage"": ""Stage 2"", ""types"": [""Fire""], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2025}",,1,,1797d99ec8ec3f26e769a8034fea22f64a468487,0,
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_ztr35c17/FirstScan/FirstScan_page_014.png,7,Cinderace,160,Raboot,Striker,"If this Pokémon is in your hand when you are setting up to play, you may put it face down in the Active Spot.","Turbo Flare :: Colorless :: 50 :: Search your deck for up to 3 Basic Energy cards and attach them to your Benched Pokémon in any way you like. Then, shuffle your deck.",,MEG,028/132,REND,Water ×2,,,"{""unreadable"": [], ""stage"": ""Stage 2"", ""types"": [""Fire""], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2025}",,1,,b826a628ae791b28993397797db26799c25a9d33,0,
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_ztr35c17/FirstScan/FirstScan_page_016.png,8,Zeraora,110,,,,"Electro Fall :: Lightning/Lightning :: 30+ :: If you have at least 4 Lightning Energy in play, this attack does 90 more damage.",Thunder,THD,024/189,5ban Graphics,,,Colorless / Colorless,"{""unreadable"": [], ""stage"": ""Basic"", ""types"": [""Lightning""], ""isPromo"": false, ""printYear"": 2019}",,1,,24e654d0311f862461d0c677c654298136e72975,0,
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_ztr35c17/FirstScan/FirstScan_page_018.png,9,Magnemite,40,,,,Beam :: Lightning :: 10,Base Set,BS,008/130,Ken Sugimori,,,,"{""unreadable"": [], ""stage"": ""Basic"", ""types"": [""Lightning""], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 1999}",,1,,dd5c036c6e7de9cbd9ae55fd4ec609c5d888feb6,0,
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_ztr35c17/FirstScan/FirstScan_page_020.png,10,Lt. Surge's Bargain,,,"oa epee eee aN Geen Ree me RSs)
i exc Rriover les ahead ne eres ards

Repeat Rie eae ste een eer
fe ee aot","a CRS \

oe nia 3 = — aa ;
Hee ee =
Bec ee oe 8
 Esaees Syst Stary SEAS Perea RON Bestar epson rarer.»
ee pe ee ee ee |
Ee eee ee ee
PASI your opponenc if each: So
aaa ent ay Be OS arrears Date pee aaah
ayes; ac HESS SUNOS aS ke a Prix card: If
a YES HCAC! mplayer kee pearl ayetake aS hriZe anda le:
4 Yes) Caciuplayet: takes a Bee eee Se:
eee lay eter aless aPrize‘card:lfino, you: ee Gun elo
oe LS yAcards
Ree aes a |","; Saeermrccereenness ee g eon hs OO
lenensarata: oe aes
NRE tee et Sst eee ee anne Se erate Gakuen ey st yt eer
integers faswanogs ceases Deseo one Weare Poona coats t ene col
eas a ooo
Get coronene Feschayes ny cheat a
dvesceachiplaver A ESE eae ats sPrizecard: tf:

pa aay >) ayertake: SRS SECIS nie RRC ea ‘ ards tty

Becvane pierce sinter sa Prize:cards SAMA ces reesei ]
eee SU Saas Gens fcard: If nie, you draw 4cards a
Soe ae aes SS ae Ce Ges y pelosi des

2 eae ies Be SSEReOneaans
Eu ieslies ee Ree oot
Dai ey ae Georg: OE ee we Eoemeee cau:",tise,MEG,120/132,Hideki Ishikawa,"bee
EAS See ge",Srteinee PERE Se SELES IEEE,,"{""unreadable"": [], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2025}",,1,,a0f93c67d70a717427c1c83baed43bae4fed920a,301,hp_missing
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_ztr35c17/FirstScan/FirstScan_page_022.png,11,(68 Ze Le: Sel,6,"See seit
Ceasic AS","poss a Bey oe I ate
oo
ie rs Active! e; discard all F oe ‘O.
ee je'PoKer card all Pokernion | ony :
| as es eee myour
_ .
8 ee ears Sie ee
Stee ee Soe ee
Rea","MAUS ire eliemeree intone uence ee sao aN Ech
AO pluck =
| Before doing damage, discard all Pokemon Tools from your
Doro ar eee ee ocr ae eae eae eaters
bine ite ic aras cea apie eocnec ne mucin cages Bese PO

Hip SSeS e A ee os aon area SE Meas CEE)","i leper tieh Ree oa ster ene SER at pe SoSty cee taneene Ry IN eat Rar Raa
se to ©
| Before doing damage, discard all Pokemon Tox ees
Core aes Unt age; discard all Pok i sea cimree
opponent's Active: SR ase <émtion Tools from your”
[cpporenceAcwverolemon
rr—r—OOCOCOCS
cae @: es ea
Weaknese( 7 scopic prresiseanced is ea ————— EEE",UTES ¢,SIT,,,"Fea =4 oe
CO See",,Fees,"A eee Oe) | | Before doing damage, discard all Pokémon Tools from your | opponent's Aen rokencs eee | Be be PU ie ag tre eee eee ne ears eee ee Pe UUM) tome",,1,,9858a396e3037f49bfda3421ddaf64723999a03d,286,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_ztr35c17/FirstScan/FirstScan_page_024.png,12,Magneton,90,Magnemite,,,"Thunder Shock :: Lightning :: 30 :: Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Unknown,EN,046/132,Saboteri,Fighting ×2,,Colorless / Colorless,"{""unreadable"": [], ""stage"": ""Stage 1"", ""types"": [""Lightning""], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2025}",,1,,5a154e7f04587e516022f24df3337aabf69a27c3,0,
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_ztr35c17/FirstScan/FirstScan_page_026.png,13,Memes Gamma vcr sc os oe,a,WAT We,": aS Gee ee =) o
Haiolsst ERED NG! techy es core pe 18 S ~
- : e 6 Lee ie (ieee x Se i
ee eS ote RUSTED rc","ese Ss aes oe
Bee en Sis, | de RON ee
pes 8 se 5 || Fie as Ea
ae See fe ee a \

os ES Oe 2. ee 3 eae",Spat eeasel nega oes :: 4,,,,,,|,—,IDR i ara yeaa Oe SERN Ged Bed ye NOt au gel eler tein eas ages BS Memes Gamma vcr sc os oe Spat eeasel nega oes 4 See! Ba We,,1,,d8e0267f95389ebfb07029d38a1349748ab15a03,128,"artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_ztr35c17/FirstScan/FirstScan_page_028.png,14,Ras y =,,,". ee ne Cen
ee Mn 7S)
Ue | fe",yo) VA\ av,"euro vii ek Seen Yh =e
Oe ay rf is /
ee wee",,,,,,,,Ras y =,,1,,04ef1a61aee337742ce211e6ca560b957d643033,8,"hp_missing,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_ztr35c17/FirstScan/FirstScan_page_030.png,15,Heave-Ho Catcher,210,,Heave-Ho Catcher,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Switch in 1 of your opponent's Benched Pokémon to the Active Spot.",Wild Press :: Fighting/Fighting/Colorless :: 210 :: This Pokémon also does 70 damage to itself.,Arm Thrust,ATH,029/197,Unknown,,,Colorless / Colorless,"{""unreadable"": [""illustrator""], ""stage"": ""Basic"", ""types"": [""Fighting""], ""setboxLetters"": ""ATH"", ""isPromo"": false, ""printYear"": 2023}",,1,,70ade22e7b89ab4d6a37b5fa02f06176d61d4838,0,
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_ztr35c17/FirstScan/FirstScan_page_032.png,16,Gigalith,140,Boldore,,,Stony Kick :: Fighting/Fighting :: 20 :: This attack also does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon),Battle Styles,BST,087/214,5ban Graphics,,,Colorless / Colorless,"{""unreadable"": [], ""stage"": ""Stage 1"", ""types"": [""Fighting""], ""setboxLetters"": ""B"", ""isPromo"": false, ""printYear"": 2021}",,1,,79d14b597a346e90775dfdd9e34fb917981306cc,0,
