source_image,page_index,name,hp,evolves_from,ability_name,ability_text,attacks,set_name,set_code,card_number,artist,weakness,resistance,retreat,notes,page_sha1,ocr_len,parse_warnings
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_bete3vd9/FirstScan/FirstScan_page_001.png,1,"=), j » (eon",,,,,,,,,,,,,"=), j » (eon &/ [le = i ) | 7 Ws ‘|",76e3891a483ef04877f54fe5eca7686a3a42c8b4,36,"hp_missing,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_bete3vd9/FirstScan/FirstScan_page_002.png,2,esse dae P 70%,,,,,esse dae P :: 70,,,,,,,,id E £ f HP | =i vege BW e's! an oe CS Oe Cr | OD peo : roan ; 02025 Pokemon nintendo /Creatures/GAME FREAK ai,69adb794dcef0deaf519a8cb6dcbeaf3f8b8bd03,126,"hp_missing,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_bete3vd9/FirstScan/FirstScan_page_003.png,3,LF |,,,,,,,,,,,,,LF | aio \,5f035e94830f0fe376f8253abb137adee0bb8866,11,"hp_missing,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_bete3vd9/FirstScan/FirstScan_page_004.png,4,E cB Sah o IPQ Aaa si oe,,,,,IR i ar eas :: 1 | o ei se :: 3 | a Renee :: 3 | oom ia Rae :: 4,,,,,,,,": +n | a Renee 3 : cps i a vies Bt : GS > ae ine > , oom ia Rae 4 : aa8 | Pa mS ees :",e6f65b23bbf32d567ad919d57597f946bf43fa33,418,"hp_missing,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_bete3vd9/FirstScan/FirstScan_page_005.png,5,a,,,,,,,,,,,,,a,54796e8df3359df0df97fa23848e4f418cce5f1d,2,"hp_missing,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_bete3vd9/FirstScan/FirstScan_page_006.png,6,"""STAGE, = . erp aad",,,,,lua :: 2,,,,,,,,"= ee ¢ | OS 2S See A = aan ] ] NO..0851, Radiator Pokémon. HT. 910"" WVT.264.6 |bs. a | |) OCS cme > ae BSS eee ©2025 Poktmon / Nintendo / Creatures / GAME FREAK See",ca73275ecea025911bcf6a2f0ac9011fd8efe27a,242,"hp_missing,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_bete3vd9/FirstScan/FirstScan_page_007.png,7,‘ Bh,,,,,,,,,,,,,‘ Bh / Vax N yt wlio) \,12544294fdf3c0d2b9f24608ec195a1ba41e2254,24,"hp_missing,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_bete3vd9/FirstScan/FirstScan_page_008.png,8,Nee Stadiums :,,,,,,,,,,,,,"i ey tei a IRAN Be | RO ee ee eu, curing each player's turn, that player may discard an) = (Yea yey ny | Snare your tm Paves ie twemmensies {©2025 Pokémon / Nintendo / Creatures / GAME FREAK ; my",ac0d18203702c3f2d97873b1e7d7fed055f6b5a7,259,"hp_missing,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_bete3vd9/FirstScan/FirstScan_page_009.png,9,"\ , % Me",,,,,,,,,,,,,"\ , % Me ew =",73a36d630c43df0bb48b05562282cd42ee8e15c9,14,"hp_missing,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_bete3vd9/FirstScan/FirstScan_page_010.png,10,if <> ) TE 14,,,,,TE :: 14 | resistanes :: 3,,,,,,,,"| take any Prize cards fori, = © | resistanes 3) . be Ny esi | OGD caven © Aitars body anae : (©2025 Pokémon / Nintend@ / Creatures / GAME FREAK = 7",ae58a3e0c3fca9067624da708b64c1540aa22b9d,247,"hp_missing,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_bete3vd9/FirstScan/FirstScan_page_011.png,11,Ne at Zinn,,,,,,,,,,,,,"Ne at Zinn i : = "" 7d",e69e068d80e43455d8f204f98a683f3c827658f3,22,"hp_missing,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_bete3vd9/FirstScan/FirstScan_page_012.png,12,[22=Cinderace Av 1608,,,,,fe :: 4 | Turbo Flare :: 50 | Search your deck for up to :: 3,,,,,,,. SPSS ica es retreat. ee,©) shuffle your deck. Nese . SPSS ica es retreat. ee ——__—_——— Fe — - — SF illes. REND oie Although Cinderacelosesits cool easily it : (GE oseiiaz | _batelinvlesiyforatraineritcsts Ul,1797d99ec8ec3f26e769a8034fea22f64a468487,597,"hp_missing,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_bete3vd9/FirstScan/FirstScan_page_013.png,13,,,,,,,,,,,,,,,d71e64614b670653dbefba797736d58077db0179,0,"hp_missing,name_guess_failed,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_bete3vd9/FirstScan/FirstScan_page_014.png,14,= . Vanes fue LOW,,,,,,,,,,,,,"HO"" ye | | = oa NO.,0815. Stuker Pokemon HT.4. Dio WIZ 28105. 3 _ B diths Pokemon iin your hand when you are setting upi) __ ff fe play, you may pur it face down inthe Active Spot. 2 Sanne (©2025 Pokémon / Nintendo Creatures / GAME FREAK Sasa",b826a628ae791b28993397797db26799c25a9d33,265,"hp_missing,artist_missing,card_number_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_bete3vd9/FirstScan/FirstScan_page_015.png,15,i 8 (SE,,,,,,,,,,,,,i 8 (SE if [if f = VE \ = J R&S Se ‘on,30e0f97ed8492da5cdb1d2e8f4894e5d72eea61a,40,"hp_missing,artist_missing,card_number_missing"
