source_image,page_index,name,hp,evolves_from,ability_name,ability_text,attacks,set_name,set_code,card_number,artist,weakness,resistance,retreat,notes,rarity,quantity,est_grade,page_sha1,ocr_len,parse_warnings
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_jsxisk7n/FirstScan/FirstScan_page_002.png,1,,,,,,,,,,,,,,"{""unreadable"": [""name"", ""stage"", ""hp"", ""types"", ""number"", ""set.name"", ""set.code"", ""setboxLetters"", ""printYear"", ""illustrator"", ""text""], ""isPromo"": false, ""layout"": ""trainer"", ""remoteWarnings"": {""unreadable"": [""hp"", ""illustrator"", ""name"", ""number"", ""printYear"", ""set.code"", ""set.name"", ""setboxLetters"", ""stage"", ""text"", ""types""]}}",,1,,b69a98796d854287aba4f65d353464a96ada6a04,0,"artist_missing,card_number_missing,fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing,fallback:name_guess_failed,hp_missing,name_guess_failed,remote_unreadable:hp,remote_unreadable:illustrator,remote_unreadable:name,remote_unreadable:number,remote_unreadable:printYear,remote_unreadable:set.code,remote_unreadable:set.name,remote_unreadable:setboxLetters,remote_unreadable:stage,remote_unreadable:text,remote_unreadable:types"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_jsxisk7n/FirstScan/FirstScan_page_004.png,2,,7,,,,,,,,,,,,"{""unreadable"": [""name"", ""stage"", ""hp"", ""types"", ""number"", ""set.name"", ""set.code"", ""setboxLetters"", ""printYear"", ""illustrator"", ""text.abilities"", ""text.attacks"", ""text.weaknesses"", ""text.resistances"", ""text.retreatCost""], ""isPromo"": false, ""layout"": ""pokemon"", ""remoteWarnings"": {""unreadable"": [""hp"", ""illustrator"", ""name"", ""number"", ""printYear"", ""set.code"", ""set.name"", ""setboxLetters"", ""stage"", ""text.abilities"", ""text.attacks"", ""text.resistances"", ""text.retreatCost"", ""text.weaknesses"", ""types""], ""lowConfidence"": [""hp"", ""illustrator"", ""name"", ""number"", ""printYear"", ""set"", ""setboxLetters"", ""stage"", ""text"", ""types""]}}",,1,,d46197dca1da53d4eacc3c8af5c743188107cd01,0,"artist_missing,card_number_missing,fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing,fallback:name_guess_failed,name_guess_failed,remote_low_conf:hp,remote_low_conf:illustrator,remote_low_conf:name,remote_low_conf:number,remote_low_conf:printYear,remote_low_conf:set,remote_low_conf:setboxLetters,remote_low_conf:stage,remote_low_conf:text,remote_low_conf:types,remote_unreadable:hp,remote_unreadable:illustrator,remote_unreadable:name,remote_unreadable:number,remote_unreadable:printYear,remote_unreadable:set.code,remote_unreadable:set.name,remote_unreadable:setboxLetters,remote_unreadable:stage,remote_unreadable:text.abilities,remote_unreadable:text.attacks,remote_unreadable:text.resistances,remote_unreadable:text.retreatCost,remote_unreadable:text.weaknesses,remote_unreadable:types"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_jsxisk7n/FirstScan/FirstScan_page_006.png,3,,,,,,,,,,,,,,"{""unreadable"": [""name"", ""stage"", ""evolvesFrom"", ""hp"", ""types"", ""number"", ""set.name"", ""set.code"", ""setboxLetters"", ""printYear"", ""illustrator"", ""text.abilities"", ""text.attacks"", ""text.weaknesses"", ""text.resistances"", ""text.retreatCost""], ""isPromo"": false, ""layout"": ""trainer"", ""remoteWarnings"": {""unreadable"": [""evolvesFrom"", ""hp"", ""illustrator"", ""name"", ""number"", ""printYear"", ""set.code"", ""set.name"", ""setboxLetters"", ""stage"", ""text.abilities"", ""text.attacks"", ""text.resistances"", ""text.retreatCost"", ""text.weaknesses"", ""types""]}}",,1,,82724cd774cb8495b5b1291ad63d3744027d9206,0,"artist_missing,card_number_missing,fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing,fallback:name_guess_failed,hp_missing,name_guess_failed,remote_unreadable:evolvesFrom,remote_unreadable:hp,remote_unreadable:illustrator,remote_unreadable:name,remote_unreadable:number,remote_unreadable:printYear,remote_unreadable:set.code,remote_unreadable:set.name,remote_unreadable:setboxLetters,remote_unreadable:stage,remote_unreadable:text.abilities,remote_unreadable:text.attacks,remote_unreadable:text.resistances,remote_unreadable:text.retreatCost,remote_unreadable:text.weaknesses,remote_unreadable:types"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_jsxisk7n/FirstScan/FirstScan_page_008.png,4,Mystery Garden,,,,,,,MEG,122/132,AYUMI ODASHIMA,,,,"{""unreadable"": [""hp"", ""set.name"", ""printYear""], ""stage"": ""Stadium"", ""setboxLetters"": ""MEG"", ""isPromo"": false, ""layout"": ""trainer"", ""remoteWarnings"": {""unreadable"": [""hp"", ""printYear"", ""set.name""]}, ""fallbackSuggestions"": {""set_code"": ""VAY""}}",,1,,acb8b44315334d5865115a618b61abd269233808,244,"fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing,hp_missing,remote_unreadable:hp,remote_unreadable:printYear,remote_unreadable:set.name"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_jsxisk7n/FirstScan/FirstScan_page_010.png,5,Shedinja,,Nincada,Fragile Husk,"If this Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon ex, your opponent can't take any Prize cards for it.",,Mega Evolution,MEG,061/132,IKEDA Saki,Psychic ×2,Fighting -30,Colorless,"{""unreadable"": [], ""stage"": ""Stage 1"", ""types"": [""Grass""], ""setboxLetters"": ""MEG"", ""isPromo"": false, ""printYear"": 2025, ""layout"": ""trainer"", ""fallbackSuggestions"": {""name"": ""se cae f ee L"", ""artist"": ""OGD cae cieare body nnd"", ""set_code"": ""OGD""}}",,1,,ae58a3e0c3fca9067624da708b64c1540aa22b9d,0,hp_missing
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_jsxisk7n/FirstScan/FirstScan_page_012.png,6,ee,,,,,,,,,,,,,"{""unreadable"": [""name"", ""stage"", ""evolvesFrom"", ""hp"", ""types"", ""number"", ""set.name"", ""set.code"", ""setboxLetters"", ""printYear"", ""illustrator"", ""text""], ""isPromo"": false, ""layout"": ""trainer"", ""remoteWarnings"": {""unreadable"": [""evolvesFrom"", ""hp"", ""illustrator"", ""name"", ""number"", ""printYear"", ""set.code"", ""set.name"", ""setboxLetters"", ""stage"", ""text"", ""types""]}}",,1,,bbd2d26f9bc9111accee112d492dfb9e721e81f3,0,"artist_missing,card_number_missing,fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing,fallback:name_guess_failed,hp_missing,remote_unreadable:evolvesFrom,remote_unreadable:hp,remote_unreadable:illustrator,remote_unreadable:name,remote_unreadable:number,remote_unreadable:printYear,remote_unreadable:set.code,remote_unreadable:set.name,remote_unreadable:setboxLetters,remote_unreadable:stage,remote_unreadable:text,remote_unreadable:types"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_jsxisk7n/FirstScan/FirstScan_page_014.png,7,,,,,,,,,,,,,,"{""unreadable"": [""name"", ""stage"", ""evolvesFrom"", ""hp"", ""types"", ""number"", ""set.name"", ""set.code"", ""setboxLetters"", ""printYear"", ""illustrator"", ""text.abilities"", ""text.attacks"", ""text.weaknesses"", ""text.resistances"", ""text.retreatCost""], ""isPromo"": false, ""layout"": ""trainer"", ""remoteWarnings"": {""unreadable"": [""evolvesFrom"", ""hp"", ""illustrator"", ""name"", ""number"", ""printYear"", ""set.code"", ""set.name"", ""setboxLetters"", ""stage"", ""text.abilities"", ""text.attacks"", ""text.resistances"", ""text.retreatCost"", ""text.weaknesses"", ""types""]}}",,1,,9d728547897348c83355fa18e597d1f1d23069a3,0,"artist_missing,card_number_missing,fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing,fallback:name_guess_failed,hp_missing,name_guess_failed,remote_unreadable:evolvesFrom,remote_unreadable:hp,remote_unreadable:illustrator,remote_unreadable:name,remote_unreadable:number,remote_unreadable:printYear,remote_unreadable:set.code,remote_unreadable:set.name,remote_unreadable:setboxLetters,remote_unreadable:stage,remote_unreadable:text.abilities,remote_unreadable:text.attacks,remote_unreadable:text.resistances,remote_unreadable:text.retreatCost,remote_unreadable:text.weaknesses,remote_unreadable:types"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_jsxisk7n/FirstScan/FirstScan_page_016.png,8,Zeraora,,,,,,Thunder Clash,,024/189,5ban Graphics,,,Colorless,"{""unreadable"": [], ""stage"": ""Basic"", ""types"": [""Lightning""], ""isPromo"": false, ""printYear"": 2021, ""layout"": ""trainer""}",,1,,24e654d0311f862461d0c677c654298136e72975,146,"fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing,hp_missing"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_jsxisk7n/FirstScan/FirstScan_page_018.png,9,ee,,,,,,,,,,,,,"{""unreadable"": [""name"", ""stage"", ""evolvesFrom"", ""hp"", ""types"", ""number"", ""set.name"", ""set.code"", ""setboxLetters"", ""printYear"", ""illustrator"", ""text""], ""isPromo"": false, ""layout"": ""trainer"", ""remoteWarnings"": {""unreadable"": [""evolvesFrom"", ""hp"", ""illustrator"", ""name"", ""number"", ""printYear"", ""set.code"", ""set.name"", ""setboxLetters"", ""stage"", ""text"", ""types""]}}",,1,,680cc9f5f2e945e7271c805dc03c8895cf8f6db7,0,"artist_missing,card_number_missing,fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing,fallback:name_guess_failed,hp_missing,remote_unreadable:evolvesFrom,remote_unreadable:hp,remote_unreadable:illustrator,remote_unreadable:name,remote_unreadable:number,remote_unreadable:printYear,remote_unreadable:set.code,remote_unreadable:set.name,remote_unreadable:setboxLetters,remote_unreadable:stage,remote_unreadable:text,remote_unreadable:types"
/var/folders/h4/nm6scp6n4v7gjrxwpc07ntgm0000gn/T/pokedata_jsxisk7n/FirstScan/FirstScan_page_020.png,10,,,,,,,,,,,,,,"{""unreadable"": [""name"", ""stage"", ""evolvesFrom"", ""hp"", ""types"", ""number"", ""set.name"", ""set.code"", ""setboxLetters"", ""printYear"", ""illustrator"", ""text.abilities"", ""text.attacks"", ""text.weaknesses"", ""text.resistances"", ""text.retreatCost""], ""isPromo"": false, ""layout"": ""trainer"", ""remoteWarnings"": {""unreadable"": [""evolvesFrom"", ""hp"", ""illustrator"", ""name"", ""number"", ""printYear"", ""set.code"", ""set.name"", ""setboxLetters"", ""stage"", ""text.abilities"", ""text.attacks"", ""text.resistances"", ""text.retreatCost"", ""text.weaknesses"", ""types""]}}",,1,,bc28e9755406b22556db61165e6ca73f755abe02,0,"artist_missing,card_number_missing,fallback:artist_missing,fallback:card_number_missing,fallback:hp_missing,fallback:name_guess_failed,hp_missing,name_guess_failed,remote_unreadable:evolvesFrom,remote_unreadable:hp,remote_unreadable:illustrator,remote_unreadable:name,remote_unreadable:number,remote_unreadable:printYear,remote_unreadable:set.code,remote_unreadable:set.name,remote_unreadable:setboxLetters,remote_unreadable:stage,remote_unreadable:text.abilities,remote_unreadable:text.attacks,remote_unreadable:text.resistances,remote_unreadable:text.retreatCost,remote_unreadable:text.weaknesses,remote_unreadable:types"
